Id;Designator;Footprint;Quantity;Comment;Supplier and ref
1;C9,C5,C7,C11,C3,C10,C8,C6,C2,C17;C_0402_1005Metric;10;0.1uF;
2;C16,C15;C_0402_1005Metric;2;33pF;
3;R6;R_0402_1005Metric;1;10k;
4;R1,R2;R_0402_1005Metric;2;5.1k;
5;R4,R3;R_0402_1005Metric;2;27;
6;R7,R5;R_0402_1005Metric;2;1k;
7;C13,C14;C_0201_0603Metric;2;10uF;
8;U3;Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm;1;W25Q128JVS;
9;J1;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0_14P;
10;C1;C_0402_1005Metric;1;1uF;
11;SW1;SW_Push_SPST_NO_Alps_SKRK;1;SW_Push;
12;U4;SOT-23;1;MCP1700x-330xxTT;
13;C4;C_0402_1005Metric;1;10uF;
14;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm;1;12 MHz;
15;U1;QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm;1;RP2040;
16;J2,J3;PinHeader_1x20_P2.54mm_Vertical;2;Conn_01x20;
17;J4;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03;
