designator,comment,Package,Position X,Position Y,Rotation,layer
C1,1uF,C_0402_1005Metric,70,-43.5,0,top
C2,0.1uF,C_0402_1005Metric,68.72,-57.06,0,top
C3,0.1uF,C_0402_1005Metric,70.04,-44.57,0,top
C4,10uF,C_0402_1005Metric,68.03,-35.63,0,top
C5,0.1uF,C_0402_1005Metric,70.35,-42.55,180,top
C6,0.1uF,C_0402_1005Metric,69.93,-37.5,0,top
C7,0.1uF,C_0402_1005Metric,69.94,-40.47,180,top
C8,0.1uF,C_0402_1005Metric,67.13,-56.56,-90,top
C9,0.1uF,C_0402_1005Metric,68.3,-42.4,180,top
C10,0.1uF,C_0402_1005Metric,69.94,-38.5,0,top
C11,0.1uF,C_0402_1005Metric,69.94,-39.47,180,top
C13,10uF,C_0402_1005Metric,62.8,-29.3,0,top
C14,10uF,C_0402_1005Metric,70.5,-46.26,90,top
C15,33pF,C_0402_1005Metric,62.66,-58.4,180,top
C16,33pF,C_0402_1005Metric,69.07,-60.33,0,top
C17,0.1uF,C_0402_1005Metric,68.5,-39.96,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,66.25,-23.25,180,top
R1,5.1k,R_0402_1005Metric,68,-29.6,-90,top
R2,5.1k,R_0402_1005Metric,64.6,-29.6,-90,top
R3,27,R_0402_1005Metric,66.95,-44.9,-90,top
R4,27,R_0402_1005Metric,67.9,-44.91,-90,top
R5,1k,R_0402_1005Metric,65.61,-57.04,0,top
R6,10k,R_0402_1005Metric,62.145,-39.4975,180,top
R7,1k,R_0402_1005Metric,64.775,-38.7775,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,70.64,-31.64,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,66.25,-50.25,0,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,63.44,-42.1,0,top
U4,MCP1700x-330xxTT,SOT-23,63.1,-31.9375,90,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,66,-59.35,0,top
